image,class,abundance,probability
1124_01_01.json,American Bistort,1,0
1124_01_01.json,Subalpine Lupine,18,0
1077_01_02.json,Sitka Valerian,8,0
1376_02_03.json,Mountain Daisy,1,0
1118_01_03.json,American Bistort,4,0
1118_01_03.json,Gray's Lovage,1,0
1118_01_03.json,North Mircoseris,1,0
1118_01_03.json,Subalpine Lupine,24,0
1568_01_02.json,American Bistort,2,0
1568_01_02.json,Subalpine Lupine,3,0
1387_03_01.json,Gray's Lovage,2,0
1387_03_01.json,Subalpine Lupine,3,0
1669_02_03.json,Subalpine Lupine,34,0
1407_01_03.json,Mountain Daisy,1,0
1407_01_03.json,American Bistort,2,0
1407_01_03.json,Gray's Lovage,1,0
1655_02_01.json,Subalpine Lupine,72,0
1646_01_01.json,Mountain Daisy,2,0
1646_01_01.json,Subalpine Lupine,9,0
1715_01_02.json,Subalpine Lupine,1,0
1414_02_03.json,Subalpine Lupine,1,0
1359_01_01.json,American Bistort,1,0
1710_03_04.json,Mountain Daisy,1,0
1365_01_03.json,Subalpine Lupine,1,0
1857_03_03.json,Mountain Daisy,2,0
1857_03_03.json,Subalpine Lupine,1,0
1064_02_02.json,Subalpine Lupine,6,0
1064_02_02.json,Gray's Lovage,2,0
1137_02_01.json,Subalpine Lupine,1,0
1860_03_03.json,Subalpine Lupine,9,0
1053_02_02.json,North Mircoseris,1,0
1053_02_02.json,Subalpine Lupine,4,0
1100_02_01.json,American Bistort,4,0
1100_02_01.json,Subalpine Lupine,7,0
1584_01_04.json,Subalpine Lupine,1,0
1722_01_02.json,Mountain Daisy,2,0
1722_01_02.json,Subalpine Lupine,18,0
1882_01_01.json,Subalpine Lupine,9,0
1882_01_01.json,American Bistort,2,0
1045_03_04.json,North Mircoseris,1,0
1045_03_04.json,Subalpine Lupine,14,0
1597_02_04.json,American Bistort,1,0
1731_02_02.json,American Bistort,2,0
1731_02_02.json,Magenta Paintbrush,1,0
1731_02_02.json,Subalpine Lupine,7,0
1662_02_01.json,Subalpine Lupine,26,0
1662_02_01.json,American Bistort,7,0
1662_02_01.json,Magenta Paintbrush,2,0
1113_01_01.json,American Bistort,4,0
1113_01_01.json,Subalpine Lupine,18,0
1341_02_03.json,Subalpine Lupine,1,0
1693_03_03.json,Sharptooth Angelica,1,0
1271_01_03.json,Subalpine Lupine,2,0
1170_02_02.json,Cascade Aster,4,0
1829_01_04.json,American Bistort,1,0
1829_01_04.json,Subalpine Lupine,3,0
1601_01_02.json,Sharptooth Angelica,1,0
1752_01_01.json,American Bistort,1,0
1752_01_01.json,Subalpine Lupine,2,0
1500_02_03.json,Subalpine Lupine,2,0
1513_01_03.json,American Bistort,5,0
1741_02_01.json,Subalpine Lupine,4,0
1612_02_02.json,Mountain Daisy,3,0
1293_03_01.json,American Bistort,1,0
1293_03_01.json,Magenta Paintbrush,1,0
1166_03_04.json,Subalpine Lupine,1,0
1030_01_01.json,Subalpine Lupine,10,0
1262_02_03.json,Subalpine Lupine,39,0
1262_02_03.json,Magenta Paintbrush,1,0
1262_02_03.json,American Bistort,1,0
1262_02_03.json,Gray's Lovage,1,0
1479_03_04.json,American Bistort,10,0
1479_03_04.json,Subalpine Lupine,8,0
1787_03_03.json,Sharptooth Angelica,1,0
1787_03_03.json,Subalpine Lupine,2,0
1007_01_01.json,Subalpine Lupine,7,0
1007_01_01.json,American Bistort,1,0
1255_02_03.json,Magenta Paintbrush,2,0
1255_02_03.json,Subalpine Lupine,7,0
1524_01_03.json,Mountain Daisy,2,0
